MJD	m	dm	uJy	duJy	F	err	chi/N	RA	Dec	x	y	maj	min	phi	apfit	mag5sig	Sky	Obs
59181.55059065	>19.53	0.0	25.55730544226732	26.766096915888074	o	>19.53	1.08	170.42086	20.17485	5313.49	3523.63	3.0	2.6	>19.53	-0.3917	18.59	173.6	01a59181o0712o
59181.55335085	>19.58	0.0	2.4992374269951174	25.304778948325566	o	>19.58	1.06	170.42086	20.17485	5292.96	3481.2	2.76	2.58	>19.58	-0.3857	18.63	181.0	01a59181o0718o
59181.55980605	>19.77	0.0	-0.5018116527428642	21.57790106794316	o	>19.77	1.03	170.42086	20.17485	5351.24	3558.91	2.45	2.33	>19.77	-0.3967	18.78	180.2	01a59181o0732o
59181.57040105	>19.30999564335551	0.0	49.1307927754246	22.815724280325384	o	>19.30999564335551	1.32	170.42086	20.17485	5370.92	3441.74	2.66	2.43	>19.30999564335551	-0.3877	18.77	182.1	01a59181o0755o
59183.57507045	>18.97	0.0	-21.471004788449427	46.53985362253093	o	>18.97	1.08	170.42086	20.17485	5308.45	8987.7	2.27	2.03	>18.97	-0.4347	18.59	181.3	02a59183o0437o
59183.57830075	>19.07	0.0	-8.06912047579548	42.96806653361092	o	>19.07	1.17	170.42086	20.17485	5327.69	9025.82	2.12	1.87	>19.07	-0.4467	18.71	179.7	02a59183o0444o
59183.58475695	>19.11	0.0	-25.008162116125945	41.30446447868343	o	>19.11	0.94	170.42086	20.17485	5268.63	8948.7	2.13	1.9	>19.11	-0.4457	18.74	179.2	02a59183o0458o
59183.59581415	>19.18	0.0	-17.44786535395895	38.72820980300714	o	>19.18	1.06	170.42086	20.17485	5246.92	9064.91	2.13	1.88	>19.18	-0.4457	18.77	178.9	02a59183o0482o
59183.65872455	>19.32	0.0	-15.952197476896517	34.018541607357626	o	>19.32	1.35	170.42086	20.17485	5293.06	9009.06	2.12	1.84	>19.32	-0.4427	18.82	180.4	02a59183o0573o
59185.60114215	>19.31	0.0	-17.819931575087832	33.35281310845317	o	>19.31	1.52	170.42086	20.17485	2020.44	12.95	2.15	2.06	>19.31	-0.4127	19.14	163.8	01a59185o0904o
59185.60842515	>20.07	0.0	-9.29988558378256	16.651223711915446	o	>20.07	1.69	170.42086	20.17485	2649.07	10229.4	2.08	1.97	>20.07	-0.4207	19.2	176.1	01a59185o0919o
59185.60888545	None	None	None	None	o	None	None	170.42086	20.17485	None	None	None	None	None	-0.4187	19.19	None	01a59185o0920o
59185.62129395	>19.117795358316275	0.0	40.52074834786232	27.254489980076663	o	>19.117795358316275	1.05	170.42086	20.17485	2055.78	54.29	2.1	1.99	>19.117795358316275	-0.4197	19.21	175.1	01a59185o0946o
59185.62359415	>19.536214967407673	0.0	20.611043303974697	18.471098917223223	o	>19.536214967407673	0.99	170.42086	20.17485	2632.84	10188.7	2.48	2.15	>19.536214967407673	-0.3977	19.11	178.6	01a59185o0951o
59185.63419635	>19.474860428576243	0.0	20.066127178069348	19.56131894717452	o	>19.474860428576243	1.42	170.42086	20.17485	2691.44	10271.6	2.58	2.32	>19.474860428576243	-0.3967	19.06	177.4	01a59185o0973o
59185.63887715	>19.85	0.0	-30.4685452486614	20.410967205413947	o	>19.85	1.04	170.42086	20.17485	2713.19	10148.7	2.31	2.14	>19.85	-0.4127	18.77	181.1	01a59185o0982o
59187.59604655	>19.370060425578384	0.0	57.37521690022405	21.556533104828016	o	>19.370060425578384	0.94	170.42086	20.17485	6098.34	2399.09	2.16	1.92	>19.370060425578384	-0.4437	18.85	184.8	02a59187o0846o
59187.59925105	19.31	0.27	68.86151467222876	19.674718477779653	o	19.31	1.21	170.42086	20.17485	6118.11	2438.09	2.12	1.88	19.31	-0.4477	19.02	179.2	02a59187o0853o
59187.61881585	19.18	0.23	77.51674764818621	17.904402327284664	o	19.18	1.05	170.42086	20.17485	6062.04	2360.35	2.16	1.92	19.18	-0.4447	19.04	181.6	02a59187o0894o
59187.62623305	19.4	0.29	62.83834053947779	19.397044025047805	o	19.4	1.06	170.42086	20.17485	6042.8	2477.05	2.14	1.89	19.4	-0.4487	19.03	183.3	02a59187o0910o
59191.60739635	18.86	0.16	104.18838236438668	16.749902619346376	o	18.86	1.39	170.42086	20.17485	6102.37	2400.27	2.11	1.89	18.86	-0.4517	19.15	185.1	02a59191o0855o
59191.61107895	19.15	0.22	79.23247159324282	17.62850637624749	o	19.15	1.24	170.42086	20.17485	6120.63	2439.57	2.06	1.85	19.15	-0.4557	19.16	182.3	02a59191o0863o
59191.61804295	19.11	0.2	82.64685485425666	16.98631271643977	o	19.11	1.2	170.42086	20.17485	6062.83	2361.69	2.11	1.89	19.11	-0.4517	19.16	182.4	02a59191o0878o
59191.63826275	18.69	0.15	121.2635969886008	18.280944269638308	o	18.69	1.55	170.42086	20.17485	6046.3	2479.55	2.14	1.9	18.69	-0.4577	19.1	182.3	02a59191o0922o
59193.61041365	18.47	0.08	148.87236836609816	12.050689842834846	o	18.47	1.41	170.420858571429	20.1748385714286	7485.88	1966.14	2.14	2.03	18.47	-0.4057	19.66	179.4	01a59193o0902o
